pcd,reg,lat,long
SE1 1DN,SE1,51.499,-0.098706
SE1 1DP,SE1,51.498844,-0.099101
SE1 1DQ,SE1,51.498794,-0.094896
SE1 1DR,SE1,51.499303,-0.099561
SE1 1DS,SE1,51.499034,-0.099742
SE1 1DT,SE1,51.499034,-0.099742
SE1 1DU,SE1,51.499011,-0.098302
SE1 1DW,SE1,51.498112,-0.098339
SE1 1DX,SE1,51.499501,-0.096884
SE1 1DZ,SE1,51.499285,-0.098579
SE1 1EA,SE1,51.501182,-0.095186
SE1 1EB,SE1,51.502128,-0.094786
SE1 1ED,SE1,51.501203,-0.094839
SE1 1EE,SE1,51.50147,-0.095765
SE1 1EF,SE1,51.501569,-0.096322
SE1 1EG,SE1,51.500762,-0.095348
SE1 1EH,SE1,51.501591,-0.094924
SE1 1EJ,SE1,51.501729,-0.09512
SE1 1EL,SE1,51.501874,-0.095733
SE1 1EN,SE1,51.501389,-0.094644
SE1 1EP,SE1,51.501303,-0.094345
SE1 1EQ,SE1,51.500762,-0.095348
SE1 1ER,SE1,51.502836,-0.095708
SE1 1ES,SE1,51.503211,-0.095534
SE1 1ET,SE1,51.503248,-0.095085
SE1 1EU,SE1,51.503569,-0.094913
SE1 1EW,SE1,51.502252,-0.095761
SE1 1EX,SE1,51.503246,-0.094927
SE1 1EY,SE1,51.5029,-0.095215
SE1 1EZ,SE1,51.502414,-0.09463
SE1 1FA,SE1,51.492762,-0.080152
SE1 1FB,SE1,51.492762,-0.080152
SE1 1FD,SE1,51.492762,-0.080152
SE1 1FJ,SE1,51.492762,-0.080152
SE1 1FY,SE1,51.499023,-0.097956
SE1 1FZ,SE1,51.499023,-0.097956
SE1 1GA,SE1,51.500471,-0.094048
SE1 1GB,SE1,51.500471,-0.094048
SE1 1GD,SE1,51.503875,-0.091615
SE1 1GE,SE1,51.503839,-0.092136
SE1 1GF,SE1,51.504105,-0.09247
SE1 1GG,SE1,51.500471,-0.094048
SE1 1GH,SE1,51.503946,-0.092635
SE1 1GJ,SE1,51.504028,-0.092142
SE1 1GL,SE1,51.500471,-0.094048
SE1 1GN,SE1,51.50396,-0.091828
SE1 1GR,SE1,51.499823,-0.094047
SE1 1GZ,SE1,51.501977,-0.092113
SE1 1HA,SE1,51.502393,-0.095049
SE1 1HB,SE1,51.502393,-0.095049
SE1 1HD,SE1,51.501684,-0.09675
SE1 1HE,SE1,51.502489,-0.095405
SE1 1HF,SE1,51.502508,-0.095462
SE1 1HG,SE1,51.503534,-0.093765
SE1 1HH,SE1,51.502582,-0.091586
SE1 1HJ,SE1,51.501894,-0.09422
SE1 1HL,SE1,51.501799,-0.094411
SE1 1HN,SE1,51.501895,-0.094782
SE1 1HP,SE1,51.502062,-0.094544
SE1 1HQ,SE1,51.502217,-0.095258
SE1 1HR,SE1,51.502853,-0.091788
SE1 1HS,SE1,51.501894,-0.09422
SE1 1HT,SE1,51.502451,-0.095277
SE1 1HU,SE1,51.502512,-0.092393
SE1 1HW,SE1,51.502331,-0.091233
SE1 1HX,SE1,51.499901,-0.094868
SE1 1HY,SE1,51.499872,-0.094808
SE1 1HZ,SE1,51.501961,-0.091667
SE1 1JA,SE1,51.501694,-0.092398
SE1 1JB,SE1,51.501957,-0.094736
SE1 1JD,SE1,51.501016,-0.093179
SE1 1JE,SE1,51.50008,-0.094339
SE1 1JF,SE1,51.502073,-0.094604
SE1 1JG,SE1,51.499914,-0.095083
SE1 1JH,SE1,51.499693,-0.095435
SE1 1JJ,SE1,51.499682,-0.096289
SE1 1JL,SE1,51.499371,-0.096126
SE1 1JN,SE1,51.499011,-0.098302
SE1 1JP,SE1,51.492762,-0.080152
SE1 1JQ,SE1,51.501838,-0.094063
SE1 1JR,SE1,51.502065,-0.093103
SE1 1JS,SE1,51.50014,-0.095806
SE1 1JT,SE1,51.498988,-0.096862
SE1 1JU,SE1,51.500705,-0.095163
SE1 1JW,SE1,51.501932,-0.095976
SE1 1JX,SE1,51.501049,-0.094197
SE1 1JY,SE1,51.500738,-0.093908
SE1 1JZ,SE1,51.500738,-0.093908
SE1 1LA,SE1,51.502512,-0.092393
SE1 1LB,SE1,51.502732,-0.09256
SE1 1LD,SE1,51.503247,-0.092232
SE1 1LE,SE1,51.502559,-0.095273
SE1 1LF,SE1,51.500738,-0.093908
SE1 1LG,SE1,51.501838,-0.094063
SE1 1LH,SE1,51.501511,-0.093328
SE1 1LJ,SE1,51.50343,-0.091908
SE1 1LL,SE1,51.503485,-0.091808
SE1 1LN,SE1,51.50358,-0.0917
SE1 1LP,SE1,51.501637,-0.09387
SE1 1LQ,SE1,51.501816,-0.096572
SE1 1LR,SE1,51.501637,-0.09387
SE1 1LS,SE1,51.501637,-0.09387
SE1 1LT,SE1,51.504168,-0.089168
SE1 1LU,SE1,51.504286,-0.090878
SE1 1LW,SE1,51.501511,-0.093328
SE1 1LX,SE1,51.503286,-0.091337
SE1 1LY,SE1,51.505052,-0.089347
SE1 1LZ,SE1,51.50485,-0.089601
SE1 1NA,SE1,51.504632,-0.089494
SE1 1NB,SE1,51.504744,-0.089735
SE1 1ND,SE1,51.504286,-0.090878
SE1 1NE,SE1,51.504656,-0.089882
SE1 1NF,SE1,51.504542,-0.090046
SE1 1NG,SE1,51.501838,-0.094063
SE1 1NH,SE1,51.504243,-0.090462
SE1 1NJ,SE1,51.50275,-0.093204
SE1 1NL,SE1,51.504052,-0.090732
SE1 1NN,SE1,51.503962,-0.090862
SE1 1NP,SE1,51.503607,-0.091122
